Name	context	language	repository	file	url	split	grammar pattern	Count	Christian Grammar Pattern	Syreen Grammar Pattern	Eman Grammar Pattern	Mahie Grammar Pattern
s3fs_truncate	FUNCTION	C++	s3fs-fuse	src/s3fs.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/s3fs.cpp	s3fs truncate	PRE V	4	PRE V	PRE V	PRE V	PRE V
s3fs_utimens	FUNCTION	C++	s3fs-fuse	src/s3fs.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/s3fs.cpp	s3fs utimens	PRE N	7	PRE N	PRE N	PRE N	PRE N
s3fscurl	DECLARATION	C++	s3fs-fuse	src/curl.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/curl.cpp	s3fs curl	PRE N	7	PRE N	PRE N	PRE N	NM NM V
s3Services	ATTRIBUTE	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/helpers/SingularityS3Services.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/helpers/SingularityS3Services.java	s3 Services	PRE NPL	3	PRE NPL	PRE NPL	PRE NPL	NM NPL
s3UploaderKeyPattern	DECLARATION	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/mesos/SingularityMesosTaskBuilder.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/mesos/SingularityMesosTaskBuilder.java	s3 Uploader Key Pattern	PRE NM NM N	7	PRE NM NM N	NM NM NM N	PRE NM NM N	NM NM NM N
s3UseV2Signing	ATTRIBUTE	Java	Singularity	SingularityS3Base/src/main/java/com/hubspot/singularity/s3/base/config/SingularityS3Configuration.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityS3Base/src/main/java/com/hubspot/singularity/s3/base/config/SingularityS3Configuration.java	s3 Use V2 Signing	NM V NM N	1	NM V NM N	NM V NM N	NM V NM N	NM V NM N
save	ATTRIBUTE	C	meta	include/meta/learn/loss/loss_function.h	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/include/meta/learn/loss/loss_function.h	save	V	3	V	V	V	V
SAVE_AS_16x16	ATTRIBUTE	Java	Spark	core/src/main/java/org/jivesoftware/resource/SparkRes.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/resource/SparkRes.java	SAVE AS 16 x 16	V P D P D	1	V P D P D	V P D P D	V P D P D	V P D P D
save_before_unloading	DECLARATION	C++	freeminer	src/map.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/map.cpp	save before unloading	V P V	6	V P V	V P V	V P V	V P V
save_buffer_max	ATTRIBUTE	C	toggldesktop	third_party/poco/PDF/include/Poco/PDF/png.h	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/PDF/include/Poco/PDF/png.h	save buffer max	V NM N	11	V NM N	V NM N	V NM N	V NM N
save_errno	DECLARATION	C	ovs	lib/util.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/util.c	save err no	V NM N	11	V NM N	V NM N	V NM N	V NM N
savedata_length	ATTRIBUTE	C	toxcore	toxcore/tox.h	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/tox.h	save data length	NM NM N	25	NM NM N	V NM N	V NM N	V NM N
saveEveryMs	ATTRIBUTE	Java	deeplearning4j	deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java	save Every Ms	V DT N	5	V DT N	V DT N	V DT N	V DT N
saveEverySinceLast	ATTRIBUTE	Java	deeplearning4j	deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/optimize/listeners/CheckpointListener.java	save Every Since Last	V DT CJ DT	1	V DT CJ DT	V DT CJ DT	V DT CJ DT	V DT CJ DT
saveExpiringObject	FUNCTION	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/data/RequestManager.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/data/RequestManager.java	save Expiring Object	V NM N	11	V NM N	V NM N	V NM N	V NM N
saveMailRecord	FUNCTION	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/data/MetadataManager.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/data/MetadataManager.java	save Mail Record	V NM N	11	V NM N	V NM N	V NM N	V NM N
saveOutput	ATTRIBUTE	Java	deeplearning4j	deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp/src/main/java/org/deeplearning4j/models/fasttext/FastText.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp/src/main/java/org/deeplearning4j/models/fasttext/FastText.java	save Output	V N	14	V N	V N	V N	V N
savePassword	DECLARATION	Java	Spark	core/src/main/java/org/jivesoftware/gui/LoginUIPanel.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/gui/LoginUIPanel.java	save Password	V N	14	V N	V N	V N	V N
saveSamples	FUNCTION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/orderedpartitioner/OrderedPartitionRecordBatch.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/orderedpartitioner/OrderedPartitionRecordBatch.java	save Samples	V NPL	1	V NPL	V NPL	V NPL	V NPL
saveTaskHistoryUpdate	FUNCTION	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/data/TaskManager.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/data/TaskManager.java	save Task History Update	V NM NM N	3	V NM NM N	V NM NM N	V NM NM N	V NM NM N
sbox4	DECLARATION	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/util/Blowfish.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/Blowfish.java	sbox 4	N D	125	N D	N D	N D	N D
scan_for_sliders	FUNCTION	C++	panda3d	pandatool/src/eggcharbase/eggCharacterCollection.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/eggcharbase/eggCharacterCollection.cxx	scan for sliders	V P NPL	1	V P NPL	V P NPL	V CJ NPL	V P NPL
select_in_word	FUNCTION	C	meta	include/meta/succinct/broadword.h	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/include/meta/succinct/broadword.h	select in word	V P N	12	V P N	V P N	V P N	V P N
send_everything	FUNCTION	C++	panda3d	direct/src/distributed/cDistributedSmoothNodeBase.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/distributed/cDistributedSmoothNodeBase.cxx	send everything	V DT	6	V DT	V DT	V DT	V DT
send_to_buffer	PARAMETER	C	weechat	src/plugins/trigger/trigger-command.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/trigger/trigger-command.c	send to buffer	V P N	12	V P N	V P N	V P N	V P N
SeparableConvolution2D	CLASS	Java	deeplearning4j	deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/SeparableConvolution2D.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/SeparableConvolution2D.java	Separable Convolution 2D	NM N NM	4	NM N NM	NM N NM	NM N NM	NM N NM
server_and_port	DECLARATION	C++	panda3d	panda/src/downloader/httpClient.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/downloader/httpClient.cxx	server and port	N CJ N	6	N CJ N	N CJ N	N CJ N	N CJ N
Server1	ATTRIBUTE	C	wireshark	epan/dissectors/packet-afs.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/packet-afs.c	Server 1	N D	125	N D	N D	N D	N D
set_by	DECLARATION	C	ccv	lib/nnc/ccv_cnnp_model_core.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/nnc/ccv_cnnp_model_core.c	set by	V P	9	V P	V P	V P	V P
set_dampen_on_bodies	FUNCTION	C++	panda3d	panda/src/ode/odeWorld.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/ode/odeWorld.cxx	set dampen on bodies	V V P NPL	1	V V P NPL	V V P NPL	V V P NPL	V V P NPL
set_data4d	FUNCTION	C++	panda3d	panda/src/gobj/geomVertexColumn.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/gobj/geomVertexColumn.cxx	set data 4d	V N NM	4	V N NM	V N NM	V N NM	V N NM
SET_GROUP_NAME_1	ATTRIBUTE	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/openfire/group/DefaultGroupProvider.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/group/DefaultGroupProvider.java	SET GROUP NAME 1	V NM N D	3	V NM N D	V NM N D	V NM N D	V NM N D
set_has_blob_included_in_max_row_size	FUNCTION	C++	drill	contrib/native/client/src/protobuf/User.pb.cc	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/protobuf/User.pb.cc	set has blob included in max row size	V V N V P NM NM N	1	V V N V P NM NM N	V V N V P NM NM N	V V N V P NM NM N	V V N V P NM NM N
set_server_and_port	FUNCTION	C++	panda3d	panda/src/downloader/urlSpec.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/downloader/urlSpec.cxx	set server and port	V N CJ N	2	V N CJ N	V N CJ N	V N CJ N	V N CJ N
SetIAMv2APIToken	FUNCTION	C++	s3fs-fuse	src/s3fs_cred.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/s3fs_cred.cpp	Set IAM v2 API Token	V NM NM NM N	1	V NM NM NM N	V NM NM NM N	V NM NM NM N	V NM NM NM N
setPart1	FUNCTION	Java	drill	protocol/src/main/java/org/apache/drill/exec/proto/UserBitShared.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/protocol/src/main/java/org/apache/drill/exec/proto/UserBitShared.java	set Part 1	V N D	8	V N D	V N D	V N D	V N D
sGby	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/planner/cost/DrillRelMdDistinctRowCount.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/planner/cost/DrillRelMdDistinctRowCount.java	s Gby	NM N	103	NM N	NM N	NM N	NM N
SHA_256_ALGORITHM	ATTRIBUTE	Java	metrics	metrics-collectd/src/main/java/com/codahale/metrics/collectd/PacketWriter.java	https://github.com/dropwizard/metrics/blob/d6cf6a4e8f6e65a0b6107be6d8d73e00f0d95efa/metrics-collectd/src/main/java/com/codahale/metrics/collectd/PacketWriter.java	SHA256 ALGORITHM	NM N	103	NM N	NM N	NM N	NM N
shift_by	PARAMETER	C	git2r	src/libgit2/src/libgit2/blame.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/blame.c	shift by	V P	9	V P	V P	V P	V P
short_too	PARAMETER	C	mgba	include/mgba-util/platform/windows/getopt.h	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/include/mgba-util/platform/windows/getopt.h	short too	NM VM	2	NM VM	NM VM	NM VM	NM VM
showStringforAdd	DECLARATION	Java	Spark	core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/sparkimpl/plugin/privacy/ui/PrivacyListTree.java	show String for Add	NM N P N	9	NM N P N	NM N P N	V N CJ V	NM N P N
significand	ATTRIBUTE	C++	toggldesktop	third_party/poco/Foundation/src/cached-powers.cc	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/Foundation/src/cached-powers.cc	significand	N	10	N	N	N	N
sin6	DECLARATION	C++	freeminer	src/network/fm_connection_sctp.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/network/fm_connection_sctp.cpp	s in 6	NM N D	33	NM N D	N P D	NM N D	N P D
since	ATTRIBUTE	Java	Smack	smack-extensions/src/main/java/org/jivesoftware/smackx/last_interaction/element/IdleElement.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-extensions/src/main/java/org/jivesoftware/smackx/last_interaction/element/IdleElement.java	since	VM	5	VM	VM	VM	VM
SingularityS3Service	CLASS	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/helpers/SingularityS3Service.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/helpers/SingularityS3Service.java	Singularity S3 Service	PRE PRE N	2	PRE PRE N	N PRE N	PRE PRE N	NM NM N
SingularityS3Services	CLASS	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/helpers/SingularityS3Services.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/helpers/SingularityS3Services.java	Singularity S3 Services	PRE PRE NPL	1	PRE PRE NPL	N PRE NPL	PRE PRE NPL	NM NM NPL
SingularityS3Uploader	CLASS	Java	Singularity	SingularityS3Uploader/src/main/java/com/hubspot/singularity/s3uploader/SingularityS3Uploader.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityS3Uploader/src/main/java/com/hubspot/singularity/s3uploader/SingularityS3Uploader.java	Singularity S3 Uploader	PRE PRE N	2	PRE PRE N	N PRE N	PRE PRE N	NM NM N
SingularityS3UploaderConfiguration	CLASS	Java	Singularity	SingularityS3Uploader/src/main/java/com/hubspot/singularity/s3uploader/config/SingularityS3UploaderConfiguration.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityS3Uploader/src/main/java/com/hubspot/singularity/s3uploader/config/SingularityS3UploaderConfiguration.java	Singularity S3 Uploader Configuration	PRE PRE NM N	4	PRE PRE NM N	N PRE NM N	PRE PRE NM N	NM NM NM N
SingularityS3UploaderContentHeaders	CLASS	Java	Singularity	SingularityS3Uploader/src/main/java/com/hubspot/singularity/s3uploader/config/SingularityS3UploaderContentHeaders.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityS3Uploader/src/main/java/com/hubspot/singularity/s3uploader/config/SingularityS3UploaderContentHeaders.java	Singularity S3 Uploader Content Headers	PRE PRE NM NM NPL	1	PRE PRE NM NM NPL	N PRE NM NM NPL	PRE PRE NM NM NPL	NM NM NM NM NPL
SingularityS3UploaderFile	CLASS	Java	Singularity	SingularityBase/src/main/java/com/hubspot/singularity/SingularityS3UploaderFile.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityBase/src/main/java/com/hubspot/singularity/SingularityS3UploaderFile.java	Singularity S3 Uploader File	PRE PRE NM N	4	PRE PRE NM N	PRE PRE NM N	PRE PRE NM N	NM NM NM N
size_from_ipv4	DECLARATION	C	ovs	lib/dpif-netdev-extract-avx512.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/dpif-netdev-extract-avx512.c	size from ipv4	N P N	12	N P N	N P N	N P N	N P N
size_in_datum	DECLARATION	C++	caffe	tools/compute_image_mean.cpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/tools/compute_image_mean.cpp	size in datum	N P N	12	N P N	N P N	N P N	N P N
skip_im2col	PARAMETER	C++	caffe	include/caffe/layers/base_conv_layer.hpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/include/caffe/layers/base_conv_layer.hpp	skip im 2 col	V N P N	3	V N P N	V N P N	V N P N	V N D N
SLF4JDebuggerFactory	CLASS	Java	Smack	smack-debug-slf4j/src/main/java/org/jivesoftware/smackx/debugger/slf4j/SLF4JDebuggerFactory.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-debug-slf4j/src/main/java/org/jivesoftware/smackx/debugger/slf4j/SLF4JDebuggerFactory.java	SLF4J Debugger Factory	PRE NM N	11	PRE NM N	PRE NM N	PRE NM N	PRE NM N
sock4	DECLARATION	C	toxcore	toxcore/LAN_discovery.c	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/LAN_discovery.c	sock 4	N D	125	N D	N D	N D	N D
soFile	PARAMETER	C++	cling	lib/Interpreter/DynamicLibraryManagerSymbol.cpp	https://github.com/vgvassilev/cling/blob/5e3310ac045d5763cd9852359d1003f3850c2a0c/lib/Interpreter/DynamicLibraryManagerSymbol.cpp	s o File	NM NM N	25	NM NM N	NM NM N	NM NM N	NM NM N
solve_via_gs	FUNCTION	C++	rigraph	src/vendor/cigraph/src/centrality/prpack/prpack_solver.cpp	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/src/centrality/prpack/prpack_solver.cpp	solve via gs	V P N	12	V P N	V P N	V P N	V P N
some_air	DECLARATION	C++	freeminer	src/mapblock.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mapblock.cpp	some air	DT N	109	DT N	DT N	DT N	DT N
some_data_not_displayed	DECLARATION	C	weechat	src/gui/curses/gui-curses-bar-window.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/curses/gui-curses-bar-window.c	some data not displayed	DT NM VM V	1	DT NM VM V	DT NM VM V	DT NM VM V	DT NM VM V
someColumnsIndexed	FUNCTION	Java	drill	contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBIndexDescriptor.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-maprdb/src/main/java/org/apache/drill/exec/planner/index/MapRDBIndexDescriptor.java	some Columns Indexed	DT NPL V	3	DT NPL V	DT NPL V	DT NPL V	DT NPL V
someReference	ATTRIBUTE	Java	drill	exec/jdbc/src/main/java/org/apache/drill/jdbc/proxy/InvocationReporterImpl.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/proxy/InvocationReporterImpl.java	some Reference	DT N	109	DT N	DT N	DT N	DT N
SortCollectorLabels1	CLASS	C++	panda3d	pandatool/src/pstatserver/pStatPianoRoll.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/pstatserver/pStatPianoRoll.cxx	Sort Collector Labels 1	V NM NPL D	2	V NM NPL D	V NM NPL D	V NM NPL D	V NM NPL D
SortCollectorLabels2	CLASS	C++	panda3d	pandatool/src/pstatserver/pStatStripChart.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/pstatserver/pStatStripChart.cxx	Sort Collector Labels 2	V NM NPL D	2	V NM NPL D	V NM NPL D	V NM NPL D	V NM NPL D
sorts_less	FUNCTION	C++	panda3d	panda/src/egg2pg/eggBinner.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/egg2pg/eggBinner.cxx	sorts less	V DT	6	V DT	V DT	V DT	V DT
soTimeout	DECLARATION	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/openfire/session/LocalOutgoingServerSession.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/session/LocalOutgoingServerSession.java	s o Timeout	NM NM N	25	NM NM N	NM NM N	NM NM N	NM NM N
spaces_every	PARAMETER	C++	panda3d	panda/src/putil/bitArray.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/putil/bitArray.cxx	spaces every	NPL DT	1	NPL DT	NPL DT	NPL DT	NPL DT
spell_speller_add_dicts_to_hash	FUNCTION	C	weechat	src/plugins/spell/spell-speller.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/spell/spell-speller.c	spell speller add dicts to hash	PRE PRE V NPL P N	1	PRE PRE V NPL P N	PRE PRE V NPL P N	PRE PRE V NPL P N	PRE PRE V NPL P N
spx_nt_prod1	FUNCTION	C	rigraph	src/vendor/cigraph/vendor/glpk/simplex/spxat.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/simplex/spxat.c	spx nt prod 1	PRE NM N D	2	PRE NM N D	PRE NM N D	PRE NM N D	NM NM N D
sqlite3_rtree_geometry_callback	FUNCTION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	sqlite3 rtree geometry callback	PRE PRE NM N	4	PRE PRE NM N	PRE PRE NM N	PRE PRE NM N	NM NM NM V
sqlite3ExprIfTrue	FUNCTION	C	mgba	src/third-party/sqlite3/sqlite3.c	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/third-party/sqlite3/sqlite3.c	sqlite3 Expr If True	PRE N CJ NM	1	PRE N CJ NM	PRE N CJ NM	PRE N CJ NM	NM N CJ NM
sqlite3Fts3HashFind	DECLARATION	C	toggldesktop	third_party/poco/Data/SQLite/src/sqlite3.c	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/Data/SQLite/src/sqlite3.c	sqlite3 Fts3 Hash Find	PRE PRE N V	3	PRE PRE N V	PRE PRE N V	PRE PRE N V	NM N N V
sqlite3Fts3HashInsert	FUNCTION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	sqlite3 Fts3 Hash Insert	PRE PRE N V	3	PRE PRE N V	PRE PRE N V	PRE PRE N V	NM NM N V
sqlite3Fts3SegReaderFree	DECLARATION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	sqlite3 Fts3 Seg Reader Free	PRE PRE NM N V	1	PRE PRE NM N V	PRE PRE NM N V	PRE PRE NM N V	NM N NM N V
sqlite3Fts5ParserFallback	FUNCTION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	sqlite3 Fts5 Parser Fallback	PRE PRE N V	3	PRE PRE N V	PRE PRE N V	PRE PRE N V	NM NM NM V
sqlite3Put4byte	FUNCTION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	sqlite3 Put 4 byte	PRE V D N	2	PRE V D N	PRE V D N	PRE V D N	NM V D N
sqlite3WhereTrace	DECLARATION	C	mgba	src/third-party/sqlite3/sqlite3.c	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/third-party/sqlite3/sqlite3.c	sqlite3 Where Trace	PRE NM N	11	PRE NM N	PRE NM N	PRE NM N	N VM N
sqlite3WithDup	FUNCTION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	sqlite3 With Dup	PRE P V	1	PRE P V	PRE P V	PRE P V	NM P N
src_as	ATTRIBUTE	C	ovs	lib/netflow.h	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/netflow.h	src as	NM N	103	NM N	NM N	NM N	NM N
src1	PARAMETER	C	ovs	include/openvswitch/flow.h	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/include/openvswitch/flow.h	src 1	N D	125	N D	N D	N D	N D
src2	PARAMETER	C	git2r	src/libgit2/deps/regex/regex_internal.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/deps/regex/regex_internal.c	src 2	N D	125	N D	N D	N D	N D
ssall	DECLARATION	C++	s3fs-fuse	src/fdcache_page.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_page.cpp	ss all	N DT	6	N DT	N DT	N DT	N DT
sset_find_and_delete	FUNCTION	C	ovs	lib/sset.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/sset.c	s set find and delete	NM N V CJ V	1	NM N V CJ V	NM N V CJ V	NM N V CJ V	NM N V CJ V
st_arg2	PARAMETER	C	wireshark	epan/dfilter/semcheck.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dfilter/semcheck.c	st arg 2	NM N D	33	NM N D	NM N D	NM N D	NM N D
startR1	DECLARATION	C++	meta	src/analyzers/filters/porter2_stemmer.cpp	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/analyzers/filters/porter2_stemmer.cpp	start R 1	NM N D	33	NM N D	NM N D	NM N D	NM N D
